Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Einnamen,"0,00"
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Ausgaben,"153.940,97"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Einnamen,"93.755,13"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Ausgaben,"3.601.143,24"
01,0103,"OB, BM und Verwaltungsführung",Einnamen,"65.546,99"
01,0103,"OB, BM und Verwaltungsführung",Ausgaben,"4.314.991,93"
01,0104,Gleichstellung von Frau und Mann,Einnamen,"19.040,88"
01,0104,Gleichstellung von Frau und Mann,Ausgaben,"724.729,79"
01,0105,Personal- und Schwerbehindertenvertretung,Einnamen,"137.420,50"
01,0105,Personal- und Schwerbehindertenvertretung,Ausgaben,"1.182.675,25"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Einnamen,"49.826,23"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Ausgaben,"1.276.867,13"
01,0107,Public Relations,Einnamen,"71.392,49"
01,0107,Public Relations,Ausgaben,"1.377.346,84"
01,0108,Personal- und Organisationsmanagement,Einnamen,"2.773.511,03"
01,0108,Personal- und Organisationsmanagement,Ausgaben,"9.678.044,46"
01,0109,Finanz- und Beteiligungsmanagement,Einnamen,"1.967.304,13"
01,0109,Finanz- und Beteiligungsmanagement,Ausgaben,"8.501.274,08"
01,0110,Recht,Einnamen,"503.463,99"
01,0110,Recht,Ausgaben,"1.760.628,71"
01,0111,Immobilienmanagement,Einnamen,"32.308.588,85"
01,0111,Immobilienmanagement,Ausgaben,"88.495.262,43"
01,0113,Zentrale Dienste,Einnamen,"1.625.205,35"
01,0113,Zentrale Dienste,Ausgaben,"2.669.581,01"
01,0114,Verwaltung der Kommunalen Stiftungen,Einnamen,"185.818,97"
01,0114,Verwaltung der Kommunalen Stiftungen,Ausgaben,"399.011,65"
01,0115,IT-Management (citeq),Einnamen,"502.683,76"
01,0115,IT-Management (citeq),Ausgaben,"330.791,53"
01,0116,Migrations- und Integrationsmanagement,Einnamen,"200.784,08"
01,0116,Migrations- und Integrationsmanagement,Ausgaben,"745.685,19"
02,0201,Ordnungsrechtliche Angelegenheiten,Einnamen,"301.564,63"
02,0201,Ordnungsrechtliche Angelegenheiten,Ausgaben,"2.344.401,82"
02,0202,Gewerberechtliche Angelegenheiten,Einnamen,"1.278.998,05"
02,0202,Gewerberechtliche Angelegenheiten,Ausgaben,"1.729.800,41"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Einnamen,"8.669.726,74"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Ausgaben,"8.016.267,63"
02,0204,Bürgerangelegenheiten,Einnamen,"2.308.950,27"
02,0204,Bürgerangelegenheiten,Ausgaben,"6.720.007,91"
02,0205,Standesamtsangelegenheiten,Einnamen,"711.673,33"
02,0205,Standesamtsangelegenheiten,Ausgaben,"1.517.100,32"
02,0206,Ausländerangelegenheiten,Einnamen,"539.793,49"
02,0206,Ausländerangelegenheiten,Ausgaben,"2.092.534,23"
02,0207,Statistik,Einnamen,"19.135,16"
02,0207,Statistik,Ausgaben,"591.330,33"
02,0208,Wahlen,Einnamen,"234,52"
02,0208,Wahlen,Ausgaben,"434.784,34"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Einnamen,"1.447.610,17"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Ausgaben,"25.029.863,48"
02,0210,Rettungsdienst,Einnamen,"13.726.925,51"
02,0210,Rettungsdienst,Ausgaben,"11.998.973,24"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Einnamen,"59.353,91"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Ausgaben,"2.330.633,76"
